generic_name,mechanism_of_action,mechanism_source,mechanism_source_tier,mechanism_confidence,data_most_recently_refreshed
acetazolamide,"Carbonic anhydrase inhibitor; antiseizure effect is attributed to carbonic-anhydrase inhibition with brain/tissue acidosis and reduced neuronal excitability, but the clinical antiseizure mechanism is not fully established.",Sills and Rogawski 2020 ASM mechanism review,Peer-reviewed review,Moderate,05-15-2026
adrenocorticotropic hormone,"Mechanism for infantile spasms is unknown; ACTH stimulates adrenal cortisol, corticosterone, aldosterone, and weak androgen secretion and is reported to bind melanocortin receptors.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
barbexaclone,"Phenobarbital/propylhexedrine salt; antiseizure effect is attributed to the phenobarbital moiety, which potentiates GABA-A receptor-mediated inhibition.",NCBI PubChem pharmacology records; Sills and Rogawski 2020 ASM mechanism review,NCBI/PubChem,Moderate,05-15-2026
beclamide,Older anticonvulsant with no well-established antiseizure mechanism; limited data suggest CNS monoamine effects rather than a defined modern ASM target.,NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
brivaracetam,"Precise anticonvulsant mechanism is unknown; brivaracetam binds selectively and with high affinity to synaptic vesicle protein 2A (SV2A), which may contribute to the anticonvulsant effect.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
cannabidiol,"Precise human anticonvulsant mechanisms are unknown; effects do not appear to be mediated by CB1/CB2 cannabinoid receptors, with GPR55, TRPV1, and adenosine-mediated signaling proposed.",FDA/DailyMed labeling; American Epilepsy Society 2024 U.S. ASM summary,FDA/AES summary,Limited,05-15-2026
carbamazepine,"Antiseizure mechanism is not fully established in labeling; accepted primary proposed effect is use-dependent voltage-gated sodium-channel blockade, reducing repetitive firing and seizure spread.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
cenobamate,Precise therapeutic mechanism is unknown; cenobamate reduces repetitive neuronal firing by inhibiting voltage-gated sodium currents and positively modulates GABA-A ion channels.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
clobazam,"Exact mechanism is not fully understood; 1,5-benzodiazepine positive allosteric modulation of GABA-A receptors potentiates GABAergic neurotransmission.",FDA/DailyMed labeling,FDA label,High,05-15-2026
clonazepam,Benzodiazepine positive allosteric modulator of GABA-A receptors; enhances GABAergic inhibition by binding at the benzodiazepine site.,American Epilepsy Society 2024 U.S. ASM summary; Sills and Rogawski 2020 ASM mechanism review,AES/FDA summary,High,05-15-2026
clorazepate,Benzodiazepine prodrug to nordiazepam; positive allosteric modulation of GABA-A receptors enhances GABAergic inhibition.,Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Peer-reviewed review,High,05-15-2026
diazepam,Precise antiseizure mechanism is unknown; diazepam enhances GABA-A receptor-mediated chloride-channel inhibition by increasing GABA effects at the receptor.,FDA/DailyMed labeling,FDA label,High,05-15-2026
divalproex sodium,"Dissociates to valproate; mechanisms are not established, but labeling suggests antiseizure activity may relate to increased brain GABA concentrations. Additional ion-channel effects are proposed but not definitive.",FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
eslicarbazepine acetate,Converted to eslicarbazepine; precise mechanism is unknown but is thought to involve inhibition of voltage-gated sodium channels.,FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
ethadione,"Oxazolidinedione-class antiseizure drug; exact drug-specific mechanism is not established, with the class proposed to reduce low-threshold T-type calcium currents in thalamic neurons.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review,Historical/limited,Limited,05-15-2026
ethosuximide,"Reduces low-threshold T-type calcium currents in thalamic neurons, the established anti-absence succinimide mechanism.",American Epilepsy Society 2024 U.S. ASM summary; NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review,AES/FDA summary,High,05-15-2026
ethotoin,"Hydantoin-class antiseizure drug; exact ethotoin-specific mechanism is not well defined, but the class is proposed to reduce high-frequency firing via voltage-gated sodium-channel effects.",NCBI Bookshelf AED mechanism table; Sills and Rogawski 2020 ASM mechanism review; NCBI PubChem pharmacology records,Historical/limited,Limited,05-15-2026
etiracetam,"Racetam development compound related to levetiracetam; exact antiseizure mechanism is not established, though levetiracetam-related analogs act through SV2A-associated mechanisms.",NCBI PubChem pharmacology records,NCBI/PubChem,Limited,05-15-2026
everolimus,"Binds FKBP-12 to inhibit mTOR complex 1 (mTORC1), targeting dysregulated mTOR signaling in tuberous sclerosis complex.",FDA/DailyMed labeling,FDA label,High,05-15-2026
ezogabine,"Neuronal potassium-channel opener; primarily activates Kv7/KCNQ channels, stabilizing resting membrane potential and reducing neuronal excitability.",EMA Trobalt withdrawal page; Sills and Rogawski 2020 ASM mechanism review,EMA/UK SmPC,High,05-15-2026
felbamate,Anticonvulsant mechanism is unknown in labeling; proposed mechanisms include reduced seizure spread with NMDA receptor inhibition and GABA-A receptor modulation.,FDA/DailyMed labeling; Sills and Rogawski 2020 ASM mechanism review,FDA label,Moderate,05-15-2026
fenfluramine,"Precise seizure mechanism is unknown; fenfluramine and norfenfluramine exhibit serotonin 5-HT2 receptor agonist activity, with sigma-1 modulation also proposed.",FDA/DailyMed labeling; American Epilepsy Society 2024 U.S. ASM summary,FDA label,Moderate,05-15-2026
fosphenytoin,"Phenytoin prodrug; anticonvulsant effects are attributable to phenytoin, whose mechanism is not established but is thought to involve voltage-dependent sodium-channel blockade.",FDA/DailyMed labeling,FDA label,Moderate,05-15-2026
