generic_name,label,pmid,title,active_rate_percent,placebo_rate_percent,differential_percent,dose_or_regimen,endpoint,included_in_csv_summary,extraction_status,audit_note,pubmed_url
brivaracetam,Yu2026,42092987,"Efficacy and safety of Brivaracetam as an adjunctive therapy in patients with focal-onset seizures: a phase III, multi-center, randomized, double-blind, placebo-controlled trial.",11.11,2.27,8.84,BRV 200 mg/day,focal-onset seizures,yes,differential_extracted,Abstract reports 200 mg/day RR50 48.89% vs 23.86% and seizure freedom 11.11% vs 2.27%. Median active/placebo reductions were not reported.,https://pubmed.ncbi.nlm.nih.gov/42092987/
brivaracetam,Inoue2024,38576178,"Efficacy, safety, and tolerability of adjunctive brivaracetam in adult Asian patients with uncontrolled focal-onset seizures: A phase III randomized, double-blind, placebo-controlled trial.",6.8,0.0,6.8,BRV 200 mg/day,focal-onset seizures,yes,differential_extracted,Abstract reports the 200 mg/day arm separately; 50 mg/day was not used for the max-dose rollup.,https://pubmed.ncbi.nlm.nih.gov/38576178/
brivaracetam,Bast2022,35844134,Efficacy and tolerability of brivaracetam monotherapy in childhood and juvenile absence epilepsy: An innovative adaptive trial design.,,,,,,no,reviewed_no_extractable_differential,Adaptive absence-epilepsy trial design publication; no extractable efficacy-arm results.,https://pubmed.ncbi.nlm.nih.gov/35844134/
brivaracetam,Kalviainen2015,26666500,"Brivaracetam in Unverricht-Lundborg disease (EPM1): Results from two randomized, double-blind, placebo-controlled studies.",,,,,,no,reviewed_no_extractable_differential,EPM1 trials reported myoclonus-score outcomes rather than seizure-frequency RR50/MPC/seizure-freedom outcomes.,https://pubmed.ncbi.nlm.nih.gov/26666500/
brivaracetam,Klein2015,26471380,"A randomized, double-blind, placebo-controlled, multicenter, parallel-group study to evaluate the efficacy and safety of adjunctive brivaracetam in adult patients with uncontrolled partial-onset seizures.",,,,BRV 200 mg/day,partial-onset seizures,no,reviewed_no_extractable_differential,Abstract reports RR50 for 200 mg/day. It reports placebo-adjusted seizure-frequency reduction but not median active/placebo reductions.,https://pubmed.ncbi.nlm.nih.gov/26471380/
brivaracetam,Biton2013,24446953,"Brivaracetam as adjunctive treatment for uncontrolled partial epilepsy in adults: a phase III randomized, double-blind, placebo-controlled trial.",,,,,,no,reviewed_no_extractable_differential,"Highest dose was 50 mg/day, below the current 200 mg/day maximum effective/approved regimen.",https://pubmed.ncbi.nlm.nih.gov/24446953/
brivaracetam,Ryvlin2013,24256083,"Adjunctive brivaracetam in adults with uncontrolled focal epilepsy: results from a double-blind, randomized, placebo-controlled trial.",,,,,,no,reviewed_no_extractable_differential,"Highest dose was 100 mg/day, below the 200 mg/day maximum effective/approved regimen.",https://pubmed.ncbi.nlm.nih.gov/24256083/
brivaracetam,Kwan2013,24116853,"Adjunctive brivaracetam for uncontrolled focal and generalized epilepsies: results of a phase III, double-blind, randomized, placebo-controlled, flexible-dose trial.",,,,BRV flexible dose up to 150 mg/day,focal seizures,no,reviewed_no_extractable_differential,Abstract reports focal-seizure responder and median reduction values for the flexible-dose trial; 150 mg/day was the trial maximum.,https://pubmed.ncbi.nlm.nih.gov/24116853/
brivaracetam,VanPaesschen2012,22813235,"Efficacy and tolerability of adjunctive brivaracetam in adults with uncontrolled partial-onset seizures: a phase IIb, randomized, controlled trial.",,,,,,no,reviewed_no_extractable_differential,"Highest dose was 150 mg/day, below the 200 mg/day maximum effective/approved regimen.",https://pubmed.ncbi.nlm.nih.gov/22813235/
brivaracetam,French2010,20592253,"Adjunctive brivaracetam for refractory partial-onset seizures: a randomized, controlled trial.",,,,,,no,reviewed_no_extractable_differential,"Highest dose was 50 mg/day, below the 200 mg/day maximum effective/approved regimen.",https://pubmed.ncbi.nlm.nih.gov/20592253/
cannabidiol,OBrien2022,35802375,Adjunctive Transdermal Cannabidiol for Adults With Focal Epilepsy: A Randomized Clinical Trial.,,,,,,no,reviewed_no_extractable_differential,Transdermal CBD focal-epilepsy study did not show a significant double-blind efficacy difference and did not report RR50 by blinded arm.,https://pubmed.ncbi.nlm.nih.gov/35802375/
cannabidiol,Thiele2021,33346789,Add-on Cannabidiol Treatment for Drug-Resistant Seizures in Tuberous Sclerosis Complex: A Placebo-Controlled Randomized Clinical Trial.,,,,CBD 25 mg/kg/day,TSC-associated seizures,no,reviewed_no_extractable_differential,Abstract reports CBD25 active/placebo reductions and the model-based placebo-adjusted reduction of 30.1%. CBD50 was not used because 25 mg/kg/day is the approved TSC maximum.,https://pubmed.ncbi.nlm.nih.gov/33346789/
cannabidiol,Miller2020,32119035,Dose-Ranging Effect of Adjunctive Oral Cannabidiol vs Placebo on Convulsive Seizure Frequency in Dravet Syndrome: A Randomized Clinical Trial.,,,,CBD 20 mg/kg/day,Dravet convulsive seizures,no,reviewed_no_extractable_differential,Abstract reports placebo-adjusted convulsive seizure-frequency reduction for the 20 mg/kg/day arm; RR50 and seizure freedom were not extractable from the abstract.,https://pubmed.ncbi.nlm.nih.gov/32119035/
cannabidiol,Devinsky2018b,29768152,Effect of Cannabidiol on Drop Seizures in the Lennox-Gastaut Syndrome.,,,,CBD 20 mg/kg/day,LGS drop seizures,no,reviewed_no_extractable_differential,Abstract reports median percent reduction for the 20 mg/kg/day arm and placebo.,https://pubmed.ncbi.nlm.nih.gov/29768152/
cannabidiol,Devinsky2018,29540584,"Randomized, dose-ranging safety trial of cannabidiol in Dravet syndrome.",,,,,,no,reviewed_no_extractable_differential,Dose-ranging safety/pharmacokinetic trial; no extractable placebo-adjusted efficacy outcome for max-dose rollup.,https://pubmed.ncbi.nlm.nih.gov/29540584/
cannabidiol,Thiele2018,29395273,"Cannabidiol in patients with seizures associated with Lennox-Gastaut syndrome (GWPCARE4): a randomised, double-blind, placebo-controlled phase 3 trial.",,,,CBD 20 mg/kg/day,LGS drop seizures,no,reviewed_no_extractable_differential,Abstract reports median percentage reduction for 20 mg/kg/day and placebo.,https://pubmed.ncbi.nlm.nih.gov/29395273/
cannabidiol,Devinsky2017,28538134,Trial of Cannabidiol for Drug-Resistant Seizures in the Dravet Syndrome.,5.0,0.0,5.0,CBD 20 mg/kg/day,Dravet convulsive seizures,yes,differential_extracted,Abstract reports RR50 and seizure-free rates; MPC is the adjusted median difference reported in the abstract.,https://pubmed.ncbi.nlm.nih.gov/28538134/
carbamazepine,Sobaniec2004,15156070,"A multicenter, placebo-controlled, double-blind study of efficacy of a new form of carbamazepine (Carbatrol) in refractory epileptic patients.",,,,,,no,reviewed_no_extractable_differential,"Reviewed PubMed title/abstract; no extractable maximum-effective-dose RR50, MPC, or seizure-freedom differential.",https://pubmed.ncbi.nlm.nih.gov/15156070/
