generic_name,kind,severity,field,status,requires_user_approval,summary,sources,current_value,proposed_value
acetazolamide,fact_check,high,trade_names,incorrect,False,"Current value omits DIAMOX SEQUELS, the FDA-labeled extended-release capsule brand. Existing generic product names are not contradicted, so retain and append the missing brand.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf,Acetazolamide; Acetazolamide Sodium; Diamox,Acetazolamide; Acetazolamide Sodium; Diamox; Diamox Sequels
acetazolamide,fact_check,high,pubmed_search_aliases,incorrect,False,Add Diamox Sequels so the branded extended-release capsule alias is searchable.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,Diamox; acetazolamide sodium,Diamox; Diamox Sequels; acetazolamide sodium
acetazolamide,fact_check,critical,filter_formulation,incorrect,True,FDA labeling says the injection is for intravenous use and intramuscular administration is not recommended.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,Capsule; IV/IM injection; Long acting; Tablet,Capsule; IV injection; Long acting; Tablet
acetazolamide,fact_check,high,mechanism_source,incorrect,False,Mechanism can be supported by FDA label PDFs; remove DailyMed from the named source.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,FDA/DailyMed labeling,FDA Drugs@FDA/accessdata labeling
acetazolamide,fact_check,high,half_life_range,incorrect,False,"The field should not remain N/A when trusted NCBI sources provide half-life values. The current statement is only true for the selected FDA label, not for the fact field overall.",https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://www.ncbi.nlm.nih.gov/books/NBK2597/,N/A - selected FDA/DailyMed label does not provide a half-life value.,"6-14 hours; reported values vary by trusted NCBI sources, with StatPearls listing plasma half-life 6-9 hours and an NCBI Bookshelf epilepsy text listing elimination half-life 12-14 hours."
acetazolamide,fact_check,high,major_organ_for_metabolism,incorrect,False,NCBI sources state acetazolamide does not undergo metabolic alteration and is renally excreted.,https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://www.ncbi.nlm.nih.gov/books/NBK2597/,N/A - selected FDA/DailyMed label does not identify a major metabolic organ; renal bicarbonate handling and urinary effects are clinically central.,No major metabolism; renal excretion is the primary route of elimination.
acetazolamide,fact_check,medium,qt_interval_effect,insufficient_evidence,False,"FDA labels reviewed do not describe QT effects, but label silence is not strong evidence for 'no known meaningful QT effect'.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,No QT interval effect described in selected FDA label.,No QT-related warning or effect identified in selected FDA labeling; absence of label language does not establish a proven no-effect finding.
acetazolamide,fact_check,medium,filter_qt_effect,insufficient_evidence,False,The stronger 'no known meaningful QT effect' claim is not directly established by the cited FDA label; a label-limited statement is supportable.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf,No known meaningful QT effect,No QT-related warning/effect identified in selected FDA labeling
acetazolamide,fact_check,high,evidence_sources,incorrect,False,"DailyMed should be removed from the named row sources, and NCBI/PubMed should be added for half-life/metabolism and RCT-gap support.",https://www.fda.gov/drugs/drug-approvals-and-databases/orange-book-data-files; https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.ncbi.nlm.nih.gov/books/NBK532282/; https://pubmed.ncbi.nlm.nih.gov/6797857/,FDA Orange Book products file; FDA/DailyMed labeling,FDA Orange Book data files; FDA Drugs@FDA/accessdata labeling; NCBI Bookshelf; PubMed
acetazolamide,fact_check,high,fda_black_box_warning,incorrect,False,"Conclusion is supported by FDA label PDFs, but the current wording relies on DailyMed, which is not permissible for this field.",https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/008943s053%2C009388s039lbl.pdf; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/012945s048lbl.pdf,No FDA boxed warning identified in selected current DailyMed label.,No FDA boxed warning identified in selected current FDA labeling.
