id,severity,kind,generic_name,source,column,safe_to_apply,requires_approval,summary,evidence_url,current_value,proposed_value
new_pubmed_phase_ii_iii_rct-36dac3217b6d,high,new_pubmed_phase_ii_iii_rct,brivaracetam,PubMed,pubmed_phase_ii_iii_rct_links,True,False,"New qualifying placebo-controlled randomized phase II/III ASM trial report: A randomized, double-blind, placebo-controlled, time-to-event study of the efficacy and safety of JNJ-40411813 in combination with levetiracetam or brivaracetam in patients with focal onset seizures.",https://pubmed.ncbi.nlm.nih.gov/41175011/,Yu2026|https://pubmed.ncbi.nlm.nih.gov/42092987/; Inoue2024|https://pubmed.ncbi.nlm.nih.gov/38576178/; Bast2022|https://pubmed.ncbi.nlm.nih.gov/35844134/; Kalviainen2015|https://pubmed.ncbi.nlm.nih.gov/26666500/; Klein2015|https://pubmed.ncbi.nlm.nih.gov/26471380/; Ryvlin2013|https://pubmed.ncbi.nlm.nih.gov/24256083/; Kwan2013|https://pubmed.ncbi.nlm.nih.gov/24116853/; Biton2013|https://pubmed.ncbi.nlm.nih.gov/24446953/; VanPaesschen2012|https://pubmed.ncbi.nlm.nih.gov/22813235/; French2010|https://pubmed.ncbi.nlm.nih.gov/20592253/,French2025|https://pubmed.ncbi.nlm.nih.gov/41175011/
new_pubmed_phase_ii_iii_rct-7dcd25e54640,high,new_pubmed_phase_ii_iii_rct,brivaracetam,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Tolerability and efficacy of adjunctive brivaracetam in adults with focal seizures by concomitant antiseizure medication use: Pooled results from three phase 3 trials.,https://pubmed.ncbi.nlm.nih.gov/35582748/,Yu2026|https://pubmed.ncbi.nlm.nih.gov/42092987/; Inoue2024|https://pubmed.ncbi.nlm.nih.gov/38576178/; Bast2022|https://pubmed.ncbi.nlm.nih.gov/35844134/; Kalviainen2015|https://pubmed.ncbi.nlm.nih.gov/26666500/; Klein2015|https://pubmed.ncbi.nlm.nih.gov/26471380/; Ryvlin2013|https://pubmed.ncbi.nlm.nih.gov/24256083/; Kwan2013|https://pubmed.ncbi.nlm.nih.gov/24116853/; Biton2013|https://pubmed.ncbi.nlm.nih.gov/24446953/; VanPaesschen2012|https://pubmed.ncbi.nlm.nih.gov/22813235/; French2010|https://pubmed.ncbi.nlm.nih.gov/20592253/,Ryvlin2022|https://pubmed.ncbi.nlm.nih.gov/35582748/
new_pubmed_phase_ii_iii_rct-0e04ac73a88c,high,new_pubmed_phase_ii_iii_rct,brivaracetam,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Time to onset of sustained ≥50% responder status in patients with focal (partial-onset) seizures in three phase III studies of adjunctive brivaracetam treatment.,https://pubmed.ncbi.nlm.nih.gov/27988967/,Yu2026|https://pubmed.ncbi.nlm.nih.gov/42092987/; Inoue2024|https://pubmed.ncbi.nlm.nih.gov/38576178/; Bast2022|https://pubmed.ncbi.nlm.nih.gov/35844134/; Kalviainen2015|https://pubmed.ncbi.nlm.nih.gov/26666500/; Klein2015|https://pubmed.ncbi.nlm.nih.gov/26471380/; Ryvlin2013|https://pubmed.ncbi.nlm.nih.gov/24256083/; Kwan2013|https://pubmed.ncbi.nlm.nih.gov/24116853/; Biton2013|https://pubmed.ncbi.nlm.nih.gov/24446953/; VanPaesschen2012|https://pubmed.ncbi.nlm.nih.gov/22813235/; French2010|https://pubmed.ncbi.nlm.nih.gov/20592253/,Klein2016|https://pubmed.ncbi.nlm.nih.gov/27988967/
new_pubmed_phase_ii_iii_rct-bf86fd5eeede,high,new_pubmed_phase_ii_iii_rct,brivaracetam,PubMed,pubmed_phase_ii_iii_rct_links,True,False,"New qualifying placebo-controlled randomized phase II/III ASM trial report: Efficacy, safety, and tolerability of adjunctive brivaracetam for secondarily generalized tonic-clonic seizures: Pooled results from three Phase III studies.",https://pubmed.ncbi.nlm.nih.gov/27608437/,Yu2026|https://pubmed.ncbi.nlm.nih.gov/42092987/; Inoue2024|https://pubmed.ncbi.nlm.nih.gov/38576178/; Bast2022|https://pubmed.ncbi.nlm.nih.gov/35844134/; Kalviainen2015|https://pubmed.ncbi.nlm.nih.gov/26666500/; Klein2015|https://pubmed.ncbi.nlm.nih.gov/26471380/; Ryvlin2013|https://pubmed.ncbi.nlm.nih.gov/24256083/; Kwan2013|https://pubmed.ncbi.nlm.nih.gov/24116853/; Biton2013|https://pubmed.ncbi.nlm.nih.gov/24446953/; VanPaesschen2012|https://pubmed.ncbi.nlm.nih.gov/22813235/; French2010|https://pubmed.ncbi.nlm.nih.gov/20592253/,Moseley2016|https://pubmed.ncbi.nlm.nih.gov/27608437/
rct_pubmed_concordance_problem-6d5ae6d6977d,high,rct_pubmed_concordance_problem,brivaracetam,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks seizure/epilepsy context.,https://pubmed.ncbi.nlm.nih.gov/26666500/,Kalviainen2015|https://pubmed.ncbi.nlm.nih.gov/26666500/,update_check on 07-12-2026: PMID 26666500 needs manual review for brivaracetam; PubMed validation reason: title lacks seizure/epilepsy context.
new_pubmed_phase_ii_iii_rct-d91d47f056de,high,new_pubmed_phase_ii_iii_rct,cannabidiol,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Time to onset of cannabidiol (CBD) treatment effect in Lennox-Gastaut syndrome: Analysis from two randomized controlled trials.,https://pubmed.ncbi.nlm.nih.gov/33797076/,OBrien2022|https://pubmed.ncbi.nlm.nih.gov/35802375/; Thiele2021|https://pubmed.ncbi.nlm.nih.gov/33346789/; Miller2020|https://pubmed.ncbi.nlm.nih.gov/32119035/; Thiele2018|https://pubmed.ncbi.nlm.nih.gov/29395273/; Devinsky2018b|https://pubmed.ncbi.nlm.nih.gov/29768152/; Devinsky2018|https://pubmed.ncbi.nlm.nih.gov/29540584/; Devinsky2017|https://pubmed.ncbi.nlm.nih.gov/28538134/,Privitera2021|https://pubmed.ncbi.nlm.nih.gov/33797076/
rct_pubmed_concordance_problem-ef54d365309e,high,rct_pubmed_concordance_problem,cannabidiol,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: drug appears in title but not as primary intervention.,https://pubmed.ncbi.nlm.nih.gov/32119035/,Miller2020|https://pubmed.ncbi.nlm.nih.gov/32119035/,update_check on 07-12-2026: PMID 32119035 needs manual review for cannabidiol; PubMed validation reason: drug appears in title but not as primary intervention.
new_pubmed_phase_ii_iii_rct-303d9d3df1b8,high,new_pubmed_phase_ii_iii_rct,carbamazepine,PubMed,pubmed_phase_ii_iii_rct_links,True,False,"New qualifying placebo-controlled randomized phase II/III ASM trial report: Improvement in verbal memory after withdrawal of carbamazepine and valproate in patients with well-controlled epilepsy: a randomized, double-blind study.",https://pubmed.ncbi.nlm.nih.gov/20955400/,Sobaniec2004|https://pubmed.ncbi.nlm.nih.gov/15156070/,Hessen2010|https://pubmed.ncbi.nlm.nih.gov/20955400/
new_pubmed_phase_ii_iii_rct-a1968776c0bf,high,new_pubmed_phase_ii_iii_rct,cenobamate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,"New qualifying placebo-controlled randomized phase II/III ASM trial report: Early response rates with adjunctive cenobamate in uncontrolled focal seizures: Prospective analysis of a randomized, double-blind, placebo-controlled study in a multinational Asian population.",https://pubmed.ncbi.nlm.nih.gov/41230998/,Lee2025|https://pubmed.ncbi.nlm.nih.gov/41144696/; Vossler2020|https://pubmed.ncbi.nlm.nih.gov/32313503/; Chung2020|https://pubmed.ncbi.nlm.nih.gov/32409485/; Krauss2019|https://pubmed.ncbi.nlm.nih.gov/31734103/; KasteleijnNolstTrenite2019|https://pubmed.ncbi.nlm.nih.gov/31292226/,Kawai2025|https://pubmed.ncbi.nlm.nih.gov/41230998/
new_pubmed_phase_ii_iii_rct-ed4728049b06,high,new_pubmed_phase_ii_iii_rct,cenobamate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,"New qualifying placebo-controlled randomized phase II/III ASM trial report: Efficacy of adjunctive cenobamate by focal seizure subtypes: a randomized, double-blind, placebo-controlled, multicenter study in a multinational Asian population.",https://pubmed.ncbi.nlm.nih.gov/41101116/,Lee2025|https://pubmed.ncbi.nlm.nih.gov/41144696/; Vossler2020|https://pubmed.ncbi.nlm.nih.gov/32313503/; Chung2020|https://pubmed.ncbi.nlm.nih.gov/32409485/; Krauss2019|https://pubmed.ncbi.nlm.nih.gov/31734103/; KasteleijnNolstTrenite2019|https://pubmed.ncbi.nlm.nih.gov/31292226/,Wu2025|https://pubmed.ncbi.nlm.nih.gov/41101116/
rct_pubmed_concordance_problem-06915fbc8910,high,rct_pubmed_concordance_problem,cenobamate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/31292226/,KasteleijnNolstTrenite2019|https://pubmed.ncbi.nlm.nih.gov/31292226/,update_check on 07-12-2026: PMID 31292226 needs manual review for cenobamate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
new_or_missing_approved_asm-6bd09ca4211e,high,new_or_missing_approved_asm,ciclopirox,FDA/openFDA,generic_name,True,False,Medication candidate 'ciclopirox' was found in external source(s) but not in ASM-list.csv. FDA/openFDA confirmation supports adding a skeletal row. Evidence: openFDA label indication text matched 'epilepsy'; effective_time=20230124,https://api.fda.gov/drug/label.json?search=indications_and_usage%3A%22epilepsy%22&limit=100,,ciclopirox
new_or_missing_approved_asm-c0b2237a85c4,high,new_or_missing_approved_asm,clozapine,FDA/openFDA,generic_name,True,False,Medication candidate 'clozapine' was found in external source(s) but not in ASM-list.csv. FDA/openFDA confirmation supports adding a skeletal row. Evidence: openFDA label indication text matched 'seizure'; effective_time=20260313,https://api.fda.gov/drug/label.json?search=indications_and_usage%3A%22seizure%22&limit=100,,clozapine
new_pubmed_phase_ii_iii_rct-4f97f15211c4,high,new_pubmed_phase_ii_iii_rct,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Psychiatric adverse events in three phase III trials of eslicarbazepine acetate for focal seizures.,https://pubmed.ncbi.nlm.nih.gov/35908275/,Koepp2026|https://pubmed.ncbi.nlm.nih.gov/41722592/; Kirkham2020|https://pubmed.ncbi.nlm.nih.gov/32151803/; Mintzer2018|https://pubmed.ncbi.nlm.nih.gov/29499473/; Sperling2014|https://pubmed.ncbi.nlm.nih.gov/25528898/; BenMenachem2010|https://pubmed.ncbi.nlm.nih.gov/20299189/; GilNagel2009|https://pubmed.ncbi.nlm.nih.gov/19832771/; Elger2009|https://pubmed.ncbi.nlm.nih.gov/19243424/; Elger2007|https://pubmed.ncbi.nlm.nih.gov/17319919/,Altalib2022|https://pubmed.ncbi.nlm.nih.gov/35908275/
new_pubmed_phase_ii_iii_rct-7c89be073150,high,new_pubmed_phase_ii_iii_rct,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Effects of adjunctive eslicarbazepine acetate on neurocognitive functioning in children with refractory focal-onset seizures.,https://pubmed.ncbi.nlm.nih.gov/29454255/,Koepp2026|https://pubmed.ncbi.nlm.nih.gov/41722592/; Kirkham2020|https://pubmed.ncbi.nlm.nih.gov/32151803/; Mintzer2018|https://pubmed.ncbi.nlm.nih.gov/29499473/; Sperling2014|https://pubmed.ncbi.nlm.nih.gov/25528898/; BenMenachem2010|https://pubmed.ncbi.nlm.nih.gov/20299189/; GilNagel2009|https://pubmed.ncbi.nlm.nih.gov/19832771/; Elger2009|https://pubmed.ncbi.nlm.nih.gov/19243424/; Elger2007|https://pubmed.ncbi.nlm.nih.gov/17319919/,Jozwiak2018|https://pubmed.ncbi.nlm.nih.gov/29454255/
new_pubmed_phase_ii_iii_rct-f74a46017ce4,high,new_pubmed_phase_ii_iii_rct,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Pooled efficacy and safety of eslicarbazepine acetate as add-on treatment in patients with focal-onset seizures: Data from four double-blind placebo-controlled pivotal phase III clinical studies.,https://pubmed.ncbi.nlm.nih.gov/29030894/,Koepp2026|https://pubmed.ncbi.nlm.nih.gov/41722592/; Kirkham2020|https://pubmed.ncbi.nlm.nih.gov/32151803/; Mintzer2018|https://pubmed.ncbi.nlm.nih.gov/29499473/; Sperling2014|https://pubmed.ncbi.nlm.nih.gov/25528898/; BenMenachem2010|https://pubmed.ncbi.nlm.nih.gov/20299189/; GilNagel2009|https://pubmed.ncbi.nlm.nih.gov/19832771/; Elger2009|https://pubmed.ncbi.nlm.nih.gov/19243424/; Elger2007|https://pubmed.ncbi.nlm.nih.gov/17319919/,Elger2017|https://pubmed.ncbi.nlm.nih.gov/29030894/
new_pubmed_phase_ii_iii_rct-c63a58b1612c,high,new_pubmed_phase_ii_iii_rct,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,True,False,New qualifying placebo-controlled randomized phase II/III ASM trial report: Severity and burden of partial-onset seizures in a phase III trial of eslicarbazepine acetate.,https://pubmed.ncbi.nlm.nih.gov/26575256/,Koepp2026|https://pubmed.ncbi.nlm.nih.gov/41722592/; Kirkham2020|https://pubmed.ncbi.nlm.nih.gov/32151803/; Mintzer2018|https://pubmed.ncbi.nlm.nih.gov/29499473/; Sperling2014|https://pubmed.ncbi.nlm.nih.gov/25528898/; BenMenachem2010|https://pubmed.ncbi.nlm.nih.gov/20299189/; GilNagel2009|https://pubmed.ncbi.nlm.nih.gov/19832771/; Elger2009|https://pubmed.ncbi.nlm.nih.gov/19243424/; Elger2007|https://pubmed.ncbi.nlm.nih.gov/17319919/,Cramer2015|https://pubmed.ncbi.nlm.nih.gov/26575256/
rct_pubmed_concordance_problem-cfd09f52f1c7,high,rct_pubmed_concordance_problem,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/20299189/,BenMenachem2010|https://pubmed.ncbi.nlm.nih.gov/20299189/,update_check on 07-12-2026: PMID 20299189 needs manual review for eslicarbazepine acetate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
rct_pubmed_concordance_problem-1b450013c69a,high,rct_pubmed_concordance_problem,eslicarbazepine acetate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/19832771/,GilNagel2009|https://pubmed.ncbi.nlm.nih.gov/19832771/,update_check on 07-12-2026: PMID 19832771 needs manual review for eslicarbazepine acetate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
rct_pubmed_concordance_problem-75bedb40c543,high,rct_pubmed_concordance_problem,ezogabine,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/20944074/,Brodie2010|https://pubmed.ncbi.nlm.nih.gov/20944074/,update_check on 07-12-2026: PMID 20944074 needs manual review for ezogabine; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
rct_pubmed_concordance_problem-a708f600775e,high,rct_pubmed_concordance_problem,felbamate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/10210023/,Siegel1999|https://pubmed.ncbi.nlm.nih.gov/10210023/,update_check on 07-12-2026: PMID 10210023 needs manual review for felbamate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
rct_pubmed_concordance_problem-db620f822c76,high,rct_pubmed_concordance_problem,felbamate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/7796796/,Devinsky1995|https://pubmed.ncbi.nlm.nih.gov/7796796/,update_check on 07-12-2026: PMID 7796796 needs manual review for felbamate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
rct_pubmed_concordance_problem-699156479952,high,rct_pubmed_concordance_problem,felbamate,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/8347179/,FelbamateStudyGroupinLennoxGastautSyndrome1993|https://pubmed.ncbi.nlm.nih.gov/8347179/,update_check on 07-12-2026: PMID 8347179 needs manual review for felbamate; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
new_or_missing_approved_asm-9afa902268b6,high,new_or_missing_approved_asm,flumazenil,FDA/openFDA,generic_name,True,False,Medication candidate 'flumazenil' was found in external source(s) but not in ASM-list.csv. FDA/openFDA confirmation supports adding a skeletal row. Evidence: openFDA label indication text matched 'status epilepticus'; effective_time=20251020,https://api.fda.gov/drug/label.json?search=indications_and_usage%3A%22status+epilepticus%22&limit=100,,flumazenil
rct_pubmed_concordance_problem-5fa0291a44d9,high,rct_pubmed_concordance_problem,gabapentin,PubMed,pubmed_phase_ii_iii_rct_links,False,True,Existing RCT link may be assigned to the wrong drug or may not meet the phase II/III placebo-controlled randomized epilepsy criteria: title lacks primary randomized/placebo/phase trial language.,https://pubmed.ncbi.nlm.nih.gov/1971862/,PMID1990|https://pubmed.ncbi.nlm.nih.gov/1971862/,update_check on 07-12-2026: PMID 1971862 needs manual review for gabapentin; PubMed validation reason: title lacks primary randomized/placebo/phase trial language.
