generic_name,status,fda_black_box_warning,fda_black_box_warning_source,fda_black_box_warning_verified,dailymed_setid,dailymed_published_date,dailymed_title,dailymed_url,boxed_section_title,boxed_section_code,search_terms,warning_sha256
acetazolamide,no_boxed_warning_in_selected_label,No FDA boxed warning identified in selected current DailyMed label.,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=58093032-8480-4d0f-82be-92e643bdbea4; published=Jan 16, 2026; title=ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM) INJECTION, POWDER, FOR SOLUTION [SAGENT PHARMACEUTICALS]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58093032-8480-4d0f-82be-92e643bdbea4",05-20-2026,58093032-8480-4d0f-82be-92e643bdbea4,"Jan 16, 2026","ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM) INJECTION, POWDER, FOR SOLUTION [SAGENT PHARMACEUTICALS]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58093032-8480-4d0f-82be-92e643bdbea4,,,acetazolamide; acetazolamide sodium; Diamox,2e4628f652ce3c3f93c3cd1aadb2bba04203f648bc70f0e6d35c5b54d3cd3878
barbexaclone,no_current_fda_label,No current FDA/DailyMed label identified.,FDA/DailyMed search on 05-20-2026: no current label found for terms [barbexaclone; barbesaclone; barbexaclonum; Maliasin].,05-20-2026,,,,,,,barbexaclone; barbesaclone; barbexaclonum; Maliasin,c67d3026093804e38ce3e3a9f8038d1d17b5d1c3efbe1766729ddbf6430e936d
brivaracetam,no_boxed_warning_in_selected_label,No FDA boxed warning identified in selected current DailyMed label.,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=3cf2f439-0e97-443e-8e33-25ecef616f6c; published=May 14, 2026; title=BRIVIACT (BRIVARACETAM) TABLET, FILM COATED BRIVIACT (BRIVARACETAM) SOLUTION BRIVIACT (BRIVARACETAM) INJECTION, SUSPENSION [UCB, INC.]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3cf2f439-0e97-443e-8e33-25ecef616f6c",05-20-2026,3cf2f439-0e97-443e-8e33-25ecef616f6c,"May 14, 2026","BRIVIACT (BRIVARACETAM) TABLET, FILM COATED BRIVIACT (BRIVARACETAM) SOLUTION BRIVIACT (BRIVARACETAM) INJECTION, SUSPENSION [UCB, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3cf2f439-0e97-443e-8e33-25ecef616f6c,,,brivaracetam; Briviact; UCB 34714,2e4628f652ce3c3f93c3cd1aadb2bba04203f648bc70f0e6d35c5b54d3cd3878
cannabidiol,no_boxed_warning_in_selected_label,No FDA boxed warning identified in selected current DailyMed label.,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=8bf27097-4870-43fb-94f0-f3d0871d1eec; published=Nov 17, 2025; title=EPIDIOLEX (CANNABIDIOL) SOLUTION [JAZZ PHARMACEUTICALS, INC.]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8bf27097-4870-43fb-94f0-f3d0871d1eec",05-20-2026,8bf27097-4870-43fb-94f0-f3d0871d1eec,"Nov 17, 2025","EPIDIOLEX (CANNABIDIOL) SOLUTION [JAZZ PHARMACEUTICALS, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8bf27097-4870-43fb-94f0-f3d0871d1eec,,,cannabidiol; Epidiolex; Epidyolex; CBD,2e4628f652ce3c3f93c3cd1aadb2bba04203f648bc70f0e6d35c5b54d3cd3878
carbamazepine,boxed_warning_found,"WARNING SERIOUS DERMATOLOGIC REACTIONS AND HLA-B*1502 ALLELE SERIOUS AND SOMETIMES FATAL DERMATOLOGIC REACTIONS, INCLUDING TOXIC EPIDERMAL NECROLYSIS (TEN) AND STEVENS-JOHNSON SYNDROME (SJS), HAVE BEEN REPORTED DURING TREATMENT WITH CARBAMAZEPINE. THESE REACTIONS ARE ESTIMATED TO OCCUR IN 1 TO 6 PER 10,000 NEW USERS IN COUNTRIES WITH MAINLY CAUCASIAN POPULATIONS, BUT THE RISK IN SOME ASIAN COUNTRIES IS ESTIMATED TO BE ABOUT 10 TIMES HIGHER. STUDIES IN PATIENTS OF CHINESE ANCESTRY HAVE FOUND A STRONG ASSOCIATION BETWEEN THE RISK OF DEVELOPING SJS/TEN AND THE PRESENCE OF HLA-B*1502, AN INHERITED ALLELIC VARIANT OF THE HLA-B GENE. HLA-B*1502 IS FOUND ALMOST EXCLUSIVELY IN PATIENTS WITH ANCESTRY ACROSS BROAD AREAS OF ASIA. PATIENTS WITH ANCESTRY IN GENETICALLY AT-RISK POPULATIONS SHOULD BE SCREENED FOR THE PRESENCE OF HLA-B*1502 PRIOR TO INITIATING TREATMENT WITH CARBATROL ® . PATIENTS TESTING POSITIVE FOR THE ALLELE SHOULD NOT BE TREATED WITH CARBATROL UNLESS THE BENEFIT CLEARLY OUTWEIGHS THE RISK (SEE WARNINGS AND PRECAUTIONS/LABORATORY TESTS ). APLASTIC ANEMIA AND AGRANULOCYTOSIS APLASTIC ANEMIA AND AGRANULOCYTOSIS HAVE BEEN REPORTED IN ASSOCIATION WITH THE USE OF CARBAMAZEPINE. DATA FROM A POPULATION-BASED CASE-CONTROL STUDY DEMONSTRATE THAT THE RISK OF DEVELOPING THESE REACTIONS IS 5-8 TIMES GREATER THAN IN THE GENERAL POPULATION. HOWEVER, THE OVERALL RISK OF THESE REACTIONS IN THE UNTREATED GENERAL POPULATION IS LOW, APPROXIMATELY SIX PATIENTS PER ONE MILLION POPULATION PER YEAR FOR AGRANULOCYTOSIS AND TWO PATIENTS PER ONE MILLION POPULATION PER YEAR FOR APLASTIC ANEMIA. ALTHOUGH REPORTS OF TRANSIENT OR PERSISTENT DECREASED PLATELET OR WHITE BLOOD CELL COUNTS ARE NOT UNCOMMON IN ASSOCIATION WITH THE USE OF CARBAMAZEPINE, DATA ARE NOT AVAILABLE TO ESTIMATE ACCURATELY THEIR INCIDENCE OR OUTCOME. HOWEVER, THE VAST MAJORITY OF THE CASES OF LEUKOPENIA HAVE NOT PROGRESSED TO THE MORE SERIOUS CONDITIONS OF APLASTIC ANEMIA OR AGRANULOCYTOSIS. BECAUSE OF THE VERY LOW INCIDENCE OF AGRANULOCYTOSIS AND APLASTIC ANEMIA, THE VAST MAJORITY OF MINOR HEMATOLOGIC CHANGES OBSERVED IN MONITORING OF PATIENTS ON CARBAMAZEPINE ARE UNLIKELY TO SIGNAL THE OCCURRENCE OF EITHER ABNORMALITY. NONETHELESS, COMPLETE PRETREATMENT HEMATOLOGICAL TESTING SHOULD BE OBTAINED AS A BASELINE. IF A PATIENT IN THE COURSE OF TREATMENT EXHIBITS LOW OR DECREASED WHITE BLOOD CELL OR PLATELET COUNTS, THE PATIENT SHOULD BE MONITORED CLOSELY. DISCONTINUATION OF THE DRUG SHOULD BE CONSIDERED IF ANY EVIDENCE OF SIGNIFICANT BONE MARROW DEPRESSION DEVELOPS.","FDA/DailyMed SPL; status=boxed_warning_found; setid=bc03e499-5bac-4293-bff4-6864153a624d; published=Jul 03, 2025; title=CARBATROL (CARBAMAZEPINE) CAPSULE, EXTENDED RELEASE [TAKEDA PHARMACEUTICALS AMERICA, INC.]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bc03e499-5bac-4293-bff4-6864153a624d",05-20-2026,bc03e499-5bac-4293-bff4-6864153a624d,"Jul 03, 2025","CARBATROL (CARBAMAZEPINE) CAPSULE, EXTENDED RELEASE [TAKEDA PHARMACEUTICALS AMERICA, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bc03e499-5bac-4293-bff4-6864153a624d,WARNING,34066-1,carbamazepine; Carbatrol; Curatil; Epitol; Equetro; Tegretol; Tegretol Prolonged Release; Tegretol-XR,204f1ccbd5335d18258d6c7130569b1f70a61cae11e08e7b5a0bc50b9fca08f2
cenobamate,no_boxed_warning_in_selected_label,No FDA boxed warning identified in selected current DailyMed label.,"FDA/DailyMed SPL; status=no_boxed_warning_in_selected_label; setid=565c2126-57ae-4e29-b443-723bbe7e2072; published=Feb 02, 2026; title=XCOPRI TITRATION PACK (CENOBAMATE) KIT XCOPRI (CENOBAMATE) TABLET, FILM COATED XCOPRI MAINTENANCE PACK (CENOBAMATE) KIT XCOPRI (CENOBAMATE) TABLET [SK LIFE SCIENCE, INC.]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=565c2126-57ae-4e29-b443-723bbe7e2072",05-20-2026,565c2126-57ae-4e29-b443-723bbe7e2072,"Feb 02, 2026","XCOPRI TITRATION PACK (CENOBAMATE) KIT XCOPRI (CENOBAMATE) TABLET, FILM COATED XCOPRI MAINTENANCE PACK (CENOBAMATE) KIT XCOPRI (CENOBAMATE) TABLET [SK LIFE SCIENCE, INC.]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=565c2126-57ae-4e29-b443-723bbe7e2072,,,cenobamate; Ontozry; Xcopri; YKP3089,2e4628f652ce3c3f93c3cd1aadb2bba04203f648bc70f0e6d35c5b54d3cd3878
clobazam,boxed_warning_found,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs for patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation [see Warnings and Precautions ( 5.1 ), Drug Interactions ( 7.1 )] . The use of benzodiazepines, including ONFI, exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Abuse and misuse of benzodiazepines commonly involve concomitant use of other medications, alcohol, and/or illicit substances, which is associated with an increased frequency of serious adverse outcomes. Before prescribing ONFI and throughout treatment, assess each patient’s risk for abuse, misuse, and addiction [see Warnings and Precautions ( 5.2 )] . The continued use of benzodiazepines, including ONFI, may lead to clinically significant physical dependence. The risks of dependence and withdrawal increase with longer treatment duration and higher daily dose. Abrupt discontinuation or rapid dosage reduction of ONFI after continued use may precipitate acute withdrawal reactions, which can be life-threatening. To reduce the risk of withdrawal reactions, use a gradual taper to discontinue ONFI or reduce the dosage [see Dosage and Administration ( 2.2 ) and Warnings and Precautions ( 5.3 )] . WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS See full prescribing information for complete boxed warning. Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs for patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation ( 5.1 , 7.1 ) . The use of benzodiazepines, including ONFI, exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Before prescribing ONFI and throughout treatment, assess each patient’s risk for abuse, misuse, and addiction ( 5.2) . Abrupt discontinuation or rapid dosage reduction of ONFI after continued use may precipitate acute withdrawal reactions, which can be life-threatening. To reduce the risk of withdrawal reactions, use a gradual taper to discontinue ONFI or reduce the dosage ( 2.2 , 5.3 ) .","FDA/DailyMed SPL; status=boxed_warning_found; setid=de03bd69-2dca-459c-93b4-541fd3e9571c; published=Dec 17, 2025; title=ONFI (CLOBAZAM) TABLET ONFI (CLOBAZAM) SUSPENSION [LUNDBECK PHARMACEUTICALS LLC]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de03bd69-2dca-459c-93b4-541fd3e9571c",05-20-2026,de03bd69-2dca-459c-93b4-541fd3e9571c,"Dec 17, 2025",ONFI (CLOBAZAM) TABLET ONFI (CLOBAZAM) SUSPENSION [LUNDBECK PHARMACEUTICALS LLC],https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de03bd69-2dca-459c-93b4-541fd3e9571c,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS",34066-1,clobazam; Frisium; Onfi; Perizam; Sympazan; Tapclob; Zacco,696d95a512f929f1ef951e509b77504846792570965fc1fca14da221201aab60
clonazepam,boxed_warning_found,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs for patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation (see WARNINGS and PRECAUTIONS ). The use of benzodiazepines, including Klonopin, exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Abuse and misuse of benzodiazepines commonly involve concomitant use of other medications, alcohol, and/or illicit substances, which is associated with an increased frequency of serious adverse outcomes. Before prescribing Klonopin and throughout treatment, assess each patient's risk for abuse, misuse, and addiction (see WARNINGS ) . The continued use of benzodiazepines, including Klonopin, may lead to clinically significant physical dependence. The risks of dependence and withdrawal increase with longer treatment duration and higher daily dose. Abrupt discontinuation or rapid dosage reduction of Klonopin after continued use may precipitate acute withdrawal reactions, which can be life-threatening. To reduce the risk of withdrawal reactions, use a gradual taper to discontinue Klonopin or reduce the dosage (see DOSAGE AND ADMINISTRATION and WARNINGS ) .","FDA/DailyMed SPL; status=boxed_warning_found; setid=cfa0d79a-843c-4b88-95a1-e9511d649ca1; published=Dec 02, 2025; title=KLONOPIN (CLONAZEPAM) TABLET [H2-PHARMA, LLC]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cfa0d79a-843c-4b88-95a1-e9511d649ca1",05-20-2026,cfa0d79a-843c-4b88-95a1-e9511d649ca1,"Dec 02, 2025","KLONOPIN (CLONAZEPAM) TABLET [H2-PHARMA, LLC]",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cfa0d79a-843c-4b88-95a1-e9511d649ca1,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS",34066-1,clonazepam; Klonopin; Rivotril,ad7a3b120fa50553739ad6de0dc5e76b9b491f9fddacd21708f7fa2c41da8d4c
clorazepate dipotassium,boxed_warning_found,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs in patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation (See WARNINGS and PRECAUTIONS ). The use of benzodiazepines, including Clorazepate dipotassium tablets, exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Abuse and misuse of benzodiazepines commonly involve concomitant use of other medications, alcohol, and/or illicit substances, which is associated with an increased frequency of serious adverse outcomes. Before prescribing Clorazepate dipotassium tablets and throughout out treatment, assess each patient’s risk for abuse, misuse, and addiction (See WARNINGS ). The continued use of benzodiazepines, including Clorazepate dipotassium tablets, may lead to clinically significant physical dependence. The risks of dependence and withdrawal increase with longer treatment duration and higher daily dose. Abrupt discontinuation or rapid dosage reduction of Clorazepate dipotassium tablets after continued use may precipitate acute withdrawal reactions, which can be life- threatening. To reduce the risk of withdrawal reactions, use a gradual taper to discontinue Clorazepate dipotassium tablets or reduce the dosage (See DOSAGE AND ADMINISTRATION and WARNINGS ).","FDA/DailyMed SPL; status=boxed_warning_found; setid=919cbd07-f587-4005-acff-26213dd1d1fb; published=Mar 26, 2026; title=CLORAZEPATE DIPOTASSIUM TABLET [AUROLIFE PHARMA LLC]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=919cbd07-f587-4005-acff-26213dd1d1fb",05-20-2026,919cbd07-f587-4005-acff-26213dd1d1fb,"Mar 26, 2026",CLORAZEPATE DIPOTASSIUM TABLET [AUROLIFE PHARMA LLC],https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=919cbd07-f587-4005-acff-26213dd1d1fb,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; and DEPENDENCE AND WITHDRAWAL REACTIONS",34066-1,clorazepate dipotassium; clorazepate; Gen-Xene; Tranxene; Tranxene SD,926ab6d296892f8f8857e5fd84857f6552fe3dad0ace7fc0e8f8fb3b42860fcf
diazepam,boxed_warning_found,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION and DEPENDENCE AND WITHDRAWAL REACTIONS Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. Reserve concomitant prescribing of these drugs for patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Follow patients for signs and symptoms of respiratory depression and sedation [see Warnings and Precautions ( 5.1 ), Drug Interactions ( 7.1 )]. LIBERVANT is approved for use in pediatric patients 2 to 5 years of age. The unapproved use of LIBERVANT exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Abuse and misuse of benzodiazepines commonly involve concomitant use of other medications, alcohol, and/or illicit substances, which is associated with an increased frequency of serious adverse outcomes [see Warnings and Precautions ( 5.2 )]. The continued use of benzodiazepines may lead to clinically significant physical dependence. The risks of dependence and withdrawal increase with longer treatment duration and higher daily dose. Although LIBERVANT is indicated only for intermittent use [see Indications and Usage ( 1 ) and Dosage and Administration ( 2 )] , if used more frequently than recommended, abrupt discontinuation or rapid dosage reduction of LIBERVANT may precipitate acute withdrawal reactions, which can be life-threatening. For patients using LIBERVANT more frequently than recommended, to reduce the risk of withdrawal reactions, use a gradual taper to discontinue LIBERVANT [see Warnings and Precautions ( 5.3 )]. WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION; AND DEPENDENCE AND WITHDRAWAL REACTIONS See full prescribing information for complete boxed warning. Concomitant use of benzodiazepines and opioids may result in profound sedation, respiratory depression, coma, and death. ( 5.1 , 7.1 ) LIBERVANT is approved for use in pediatric patients 2 to 5 years of age. The unapproved use of LIBERVANT exposes users to risks of abuse, misuse, and addiction, which can lead to overdose or death. Before prescribing LIBERVANT and throughout treatment, assess each patient’s risk for abuse, misuse, and addiction. ( 5.2 ) Although LIBERVANT is indicated only for intermittent use ( 1 , 2 ), if used more frequently than recommended, abrupt discontinuation or rapid dosage reduction of LIBERVANT may precipitate acute withdrawal reactions, which can be life-threatening. For patients using LIBERVANT more frequently than recommended, to reduce the risk of withdrawal reactions, use a gradual taper to discontinue LIBERVANT. ( 5.3 )","FDA/DailyMed SPL; status=boxed_warning_found; setid=12527569-8eb3-4624-b3c0-5c0e0c5f88c9; published=Nov 15, 2024; title=LIBERVANT (DIAZEPAM) FILM [AQUESTIVE THERAPEUTICS]; url=https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=12527569-8eb3-4624-b3c0-5c0e0c5f88c9",05-20-2026,12527569-8eb3-4624-b3c0-5c0e0c5f88c9,"Nov 15, 2024",LIBERVANT (DIAZEPAM) FILM [AQUESTIVE THERAPEUTICS],https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=12527569-8eb3-4624-b3c0-5c0e0c5f88c9,"WARNING: RISKS FROM CONCOMITANT USE WITH OPIOIDS; ABUSE, MISUSE, AND ADDICTION and DEPENDENCE AND WITHDRAWAL REACTIONS",34066-1,diazepam; Diastat; Diastat AcuDial; Libervant; Valtoco; Valium,bfe2ae3bc3a8ca1cef7fd2087ad51863b53e13bc8a57f8d7a122c3d1ce92f503
